Algoritmo,Grafo,Replica,Tiempo
A1,G1,1,0.146
A1,G1,2,0.149
A1,G1,3,0.146
A1,G1,4,0.148
A1,G1,5,0.086
A1,G2,1,0.134
A1,G2,2,0.128
A1,G2,3,0.094
A1,G2,4,0.109
A1,G2,5,0.096
A1,G3,1,0.088
A1,G3,2,0.093
A1,G3,3,0.116
A1,G3,4,0.106
A1,G3,5,0.095
A1,G4,1,0.162
A1,G4,2,0.115
A1,G4,3,0.135
A1,G4,4,0.107
A1,G4,5,0.133
A1,G5,1,0.092
A1,G5,2,0.086
A1,G5,3,0.098
A1,G5,4,0.128
A1,G5,5,0.157
A2,G1,1,8.262
A2,G1,2,7.251
A2,G1,3,8.139
A2,G1,4,6.992
A2,G1,5,6.9
A2,G2,1,9.109
A2,G2,2,12.473
A2,G2,3,8.598
A2,G2,4,7.969
A2,G2,5,8.689
A2,G3,1,8.181
A2,G3,2,9.072
A2,G3,3,7.816
A2,G3,4,7.763
A2,G3,5,8.702
A2,G4,1,9.9789
A2,G4,2,10.534
A2,G4,3,12.9001
A2,G4,4,15.613
A2,G4,5,13.9621
A2,G5,1,14.462
A2,G5,2,15.39
A2,G5,3,19.554
A2,G5,4,16.279
A2,G5,5,14.854
A3,G1,1,3.024
A3,G1,2,3.442
A3,G1,3,3.454
A3,G1,4,3.465
A3,G1,5,3.121
A3,G2,1,3.016
A3,G2,2,3.016
A3,G2,3,3.059
A3,G2,4,4.097
A3,G2,5,3.95
A3,G3,1,4.421
A3,G3,2,5.295
A3,G3,3,5.4385
A3,G3,4,3.9195
A3,G3,5,3.676
A3,G4,1,5.8398
A3,G4,2,7.5463
A3,G4,3,2.969
A3,G4,4,2.981
A3,G4,5,4.329
A3,G5,1,4.2671
A3,G5,2,3.09
A3,G5,3,3.079
A3,G5,4,4.194
A3,G5,5,2.991
A4,G1,1,33.0376
A4,G1,2,25.269
A4,G1,3,36.8282
A4,G1,4,30.339
A4,G1,5,19.9529
A4,G2,1,21.4751
A4,G2,2,21.703
A4,G2,3,20.833
A4,G2,4,21.335
A4,G2,5,20.805
A4,G3,1,20.433
A4,G3,2,22.6271
A4,G3,3,25.8972
A4,G3,4,29.0529
A4,G3,5,23.349
A4,G4,1,24.0505
A4,G4,2,20.861
A4,G4,3,20.373
A4,G4,4,19.641
A4,G4,5,22.854
A4,G5,1,26.001
A4,G5,2,28.707
A4,G5,3,40.3866
A4,G5,4,31.2598
A4,G5,5,41.8025
A5,G1,1,5.93
A5,G1,2,5.657
A5,G1,3,8.881
A5,G1,4,6.292
A5,G1,5,6.5141
A5,G2,1,5.519
A5,G2,2,5.4081
A5,G2,3,6.002
A5,G2,4,5.896
A5,G2,5,7.6711
A5,G3,1,8.648
A5,G3,2,6.943
A5,G3,3,5.79
A5,G3,4,6.5
A5,G3,5,7.548
A5,G4,1,11.2742
A5,G4,2,7.763
A5,G4,3,7.5071
A5,G4,4,6.778
A5,G4,5,11.823
A5,G5,1,7.248
A5,G5,2,11.539
A5,G5,3,6.265
A5,G5,4,9.463
A5,G5,5,9.656
